date,ticker,close
2024-04-01,ALFA,150.26
2024-04-01,BRVO,132.87
2024-04-01,CHRL,104.46
2024-04-01,DLTA,149.33
2024-04-01,ECHO,70.53
2024-04-01,FXTR,185.84
2024-04-02,ALFA,152.56
2024-04-02,BRVO,128.76
2024-04-02,CHRL,102.04
2024-04-02,DLTA,151.72
2024-04-02,ECHO,71.0
2024-04-02,FXTR,184.33
2024-04-03,ALFA,149.84
2024-04-03,BRVO,121.51
2024-04-03,CHRL,101.47
2024-04-03,DLTA,152.56
2024-04-03,ECHO,71.31
2024-04-03,FXTR,184.89
2024-04-04,ALFA,145.28
2024-04-04,BRVO,120.97
2024-04-04,CHRL,101.41
2024-04-04,DLTA,152.01
2024-04-04,ECHO,70.03
2024-04-04,FXTR,186.23
2024-04-05,ALFA,141.76
2024-04-05,BRVO,117.7
2024-04-05,CHRL,101.18
2024-04-05,DLTA,150.06
2024-04-05,ECHO,69.92
2024-04-05,FXTR,188.06
2024-04-06,ALFA,146.73
2024-04-06,BRVO,114.95
2024-04-06,CHRL,100.66
2024-04-06,DLTA,156.47
2024-04-06,ECHO,69.14
2024-04-06,FXTR,186.8
2024-04-07,ALFA,147.83
2024-04-07,BRVO,111.21
2024-04-07,CHRL,101.11
2024-04-07,DLTA,151.36
2024-04-07,ECHO,67.94
2024-04-07,FXTR,184.03
2024-04-08,ALFA,149.91
2024-04-08,BRVO,119.64
2024-04-08,CHRL,100.06
2024-04-08,DLTA,150.5
2024-04-08,ECHO,68.16
2024-04-08,FXTR,183.43
2024-04-09,ALFA,144.47
2024-04-09,BRVO,120.03
2024-04-09,CHRL,98.14
2024-04-09,DLTA,152.84
2024-04-09,ECHO,68.78
2024-04-09,FXTR,181.49
2024-04-10,ALFA,144.59
2024-04-10,BRVO,114.8
2024-04-10,CHRL,97.58
2024-04-10,DLTA,156.92
2024-04-10,ECHO,68.14
2024-04-10,FXTR,180.89
2024-04-11,ALFA,146.21
2024-04-11,BRVO,115.7
2024-04-11,CHRL,98.37
2024-04-11,DLTA,157.83
2024-04-11,ECHO,68.63
2024-04-11,FXTR,179.83
2024-04-12,ALFA,152.2
2024-04-12,BRVO,114.1
2024-04-12,CHRL,99.53
2024-04-12,DLTA,154.21
2024-04-12,ECHO,67.39
2024-04-12,FXTR,180.8
2024-04-13,ALFA,158.05
2024-04-13,BRVO,109.27
2024-04-13,CHRL,98.21
2024-04-13,DLTA,157.04
2024-04-13,ECHO,68.45
2024-04-13,FXTR,182.76
2024-04-14,ALFA,157.34
2024-04-14,BRVO,110.41
2024-04-14,CHRL,97.51
2024-04-14,DLTA,161.97
